Name,place_id,state_id,Total Population,Median Household Income,Per capita income,Under 5yo %,Under 18yo %,Over 65yo %,Female %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Two or more races %,Hispanic or Latino %,"White alone, not Hispanic or Latino %",Foreign born %,Total Housing Units,Owner-occupied Housing Units,Median value of owner-occupied housing units,Median selected monthly owner costs - with mortgage,Median selected monthly owner costs - without mortgage,Median gross rent,Total households,Persons per household,Living in the same house 1 year ago %,Language other than English spoken at home %,Households with computer %,Households with internet %,High school graduate or higher %,Bachelor's degree or higher %,18-64yo with disability %,Without health insurance %,In labor force over 16yo %,In labor force females over 16yo %,Mean travel time to work (minutes),People in poverty %
"Abingdon city, Illinois",00113,17,3586,44042,22466,7.1,27.4,608,47.7,97.7,2.5,0.0,0.0,0.0,0.8,5.4,92.1,0.0,1609,1038,76800,860,390,642,1481,2.39,95.5,0.5,87.4,84.7,86.4,14.2,12.8,6.1,64.8,68.2,39.1,21.4
"Addison village, Illinois",00243,17,35999,75960,32779,5.0,22.1,5654,50.5,70.2,5.6,1.9,9.4,0.4,8.6,41.6,44.2,32.4,13059,8239,271500,1948,832,1129,12720,2.82,90.8,55.6,91.8,85.4,79.7,23.8,6.8,9.0,69.4,63.1,25.4,11.6
"Albany village, Illinois",00516,17,771,64205,32050,8.3,25.3,185,51.8,97.8,1.3,1.3,1.2,0.0,2.5,4.2,92.9,1.3,374,298,123700,1478,521,669,333,2.32,83.7,2.7,89.8,88.3,93.3,17.8,5.1,6.9,57.7,50.5,22.0,5.7
"Albers village, Illinois",00555,17,1431,103554,39918,5.4,25.0,282,49.3,99.4,2.2,0.2,0.7,0.0,2.7,0.1,96.9,0.7,550,456,176500,1589,629,977,533,2.68,93.7,1.6,92.3,88.7,95.5,27.0,11.5,2.5,73.5,68.9,29.7,7.2
"Albion city, Illinois",00568,17,2122,48603,23295,7.1,28.1,328,52.7,97.4,0.0,2.4,0.9,0.5,1.6,3.0,95.3,1.6,923,579,83200,840,324,700,863,2.43,82.2,3.8,87.1,82.3,90.3,14.1,14.9,5.4,61.6,56.6,20.0,21.3
"Aledo city, Illinois",00646,17,3860,53277,29057,5.1,19.1,898,51.0,97.0,2.4,0.2,1.3,0.0,1.5,2.1,94.1,2.1,1815,941,118100,1031,481,702,1595,2.29,89.1,3.9,88.5,85.2,93.5,22.1,9.7,5.0,63.5,58.7,23.8,9.5
"Alexis village, Illinois",00672,17,735,54792,27684,8.0,28.8,130,48.2,100.0,3.9,1.1,0.0,0.4,5.7,5.3,89.3,3.3,348,282,77400,863,344,493,308,2.39,80.4,3.3,87.0,83.8,95.8,17.5,8.7,10.8,71.7,63.4,26.2,5.3
"Algonquin village, Illinois",00685,17,29869,115346,49226,4.7,21.8,3898,49.5,87.4,3.1,1.0,9.0,0.0,4.1,10.2,77.3,12.3,11305,9376,273600,2201,898,1725,11018,2.71,91.1,19.2,96.6,93.7,94.9,44.2,5.5,4.1,74.9,70.4,32.2,4.8
"Alhambra village, Illinois",00737,17,627,46477,24676,4.8,17.7,195,49.1,97.4,0.0,2.9,0.0,0.0,0.3,2.1,97.1,2.4,276,156,125000,1188,471,664,253,2.09,88.6,3.9,85.0,72.7,80.0,16.9,8.8,7.2,49.8,44.5,29.6,7.0
"Allenville village, Illinois",00867,17,111,55179,22158,1.8,27.0,26,41.4,100.0,0.0,0.0,0.0,0.0,0.0,18.9,81.1,0.0,71,41,95000,1047,450,763,49,2.27,97.3,4.6,93.9,77.6,96.1,13.2,29.1,5.4,70.4,68.3,21.8,4.5
"Allerton village, Illinois",00880,17,226,62857,27407,6.6,19.9,34,58.8,90.7,8.4,0.9,3.5,0.0,3.5,0.0,87.2,1.3,107,81,87500,950,433,558,90,2.51,95.5,0.0,96.7,94.4,93.3,15.3,8.8,8.0,61.5,53.8,31.4,11.5
"Alma village, Illinois",00919,17,304,44375,24059,8.9,25.0,53,52.6,100.0,0.0,1.6,0.0,0.0,1.6,0.0,98.4,0.0,175,98,43000,847,300,331,138,2.20,88.3,0.4,96.4,93.5,90.9,6.6,23.4,4.6,57.1,53.5,17.7,14.8
"Alorton village, Illinois",00958,17,1864,19605,13541,15.2,42.7,214,55.6,2.2,97.4,0.0,0.0,0.4,0.9,0.5,1.8,0.0,753,244,44600,1063,298,681,582,3.19,93.6,0.5,72.9,67.7,77.3,5.3,25.3,6.7,56.4,61.7,28.1,58.6
"Alpha village, Illinois",00971,17,731,63611,28054,11.5,31.5,129,41.5,97.8,1.1,0.4,0.0,0.0,16.6,11.4,80.0,0.3,295,216,87800,925,413,788,268,2.73,85.3,2.2,90.7,86.2,93.0,22.6,7.5,5.7,67.8,56.8,24.5,7.3
"Alsey village, Illinois",00997,17,172,44583,23076,8.7,25.6,27,53.5,96.5,3.5,0.0,0.0,0.0,0.0,0.0,96.5,0.0,89,60,45000,760,300,717,77,2.23,95.9,0.0,72.7,66.2,87.4,12.6,18.8,2.3,55.3,58.3,23.5,14.5
"Alsip village, Illinois",01010,17,19036,59123,30699,5.6,24.4,3336,51.5,66.1,25.9,1.4,2.5,0.0,6.6,24.6,47.1,9.4,7997,4720,172000,1548,692,990,7629,2.49,93.7,20.5,90.2,81.9,88.9,20.8,8.3,9.0,66.7,63.0,32.2,8.2
"Altamont city, Illinois",01049,17,2327,55972,29775,4.3,20.8,611,50.4,99.8,0.0,0.2,0.0,0.0,0.2,0.0,99.6,0.0,1047,747,92500,959,480,810,1041,2.16,92.3,0.3,88.6,83.1,90.6,14.9,16.4,8.0,60.0,54.6,23.2,11.2
"Alton city, Illinois",01114,17,25902,45225,25810,5.5,24.2,4236,52.2,73.3,29.3,0.6,1.2,0.0,5.1,1.9,67.1,1.8,12836,6550,82000,974,438,824,11097,2.29,84.1,3.2,89.7,84.5,88.7,19.4,20.3,7.4,61.6,60.1,24.1,24.4
"Altona village, Illinois",01140,17,602,66944,31349,6.1,23.4,93,48.0,94.9,5.1,0.0,0.0,0.0,0.5,0.0,94.4,0.5,264,190,80000,1000,427,673,212,2.84,97.8,0.4,92.0,87.7,93.0,15.4,7.9,3.8,71.9,65.0,22.4,9.8
"Alto Pass village, Illinois",01205,17,369,54167,26706,3.8,20.3,66,51.8,97.6,0.0,2.7,0.0,0.0,4.3,19.5,77.8,13.0,163,113,92800,1083,489,638,122,3.02,93.2,20.8,73.0,62.3,87.7,35.6,9.2,5.1,56.9,48.4,29.7,7.6
"Amboy city, Illinois",01270,17,2450,66082,29709,4.2,21.1,458,49.7,98.4,1.3,0.5,1.8,2.2,3.9,5.2,91.7,1.6,1074,681,89600,1138,470,779,993,2.40,92.6,3.3,88.4,87.7,90.5,15.5,10.9,6.2,67.0,66.1,32.1,13.7
